ID,CAPA_ID,ESTILO_ID,TIPO_ID,GEOJSON,NOMBRE,DESCRIPCION,ESTADO,ELIMINADO
187,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-65.91931602, -17.46778008], [-65.9192842, -17.46755481], [-65.91902923, -17.46749535], [-65.91905514, -17.4673505], [-65.91905111, -17.46709773], [-65.91906037, -17.46708857], [-65.91931448, -17.46709386], [-65.91959666, -17.46708972], [-65.91989751, -17.46707627], [-65.92000765, -17.46690309], [-65.92003543, -17.46687559], [-65.92005352, -17.46683018], [-65.92023094, -17.46674631], [-65.92022125, -17.46672839], [-65.92044003, -17.46687868], [-65.92063742, -17.46686675], [-65.92082323, -17.46671954], [-65.92090961, -17.46682663], [-65.92101553, -17.46697857], [-65.92118685, -17.46710246], [-65.92124401, -17.46714677], [-65.92136586, -17.46711789], [-65.92144082, -17.46709873], [-65.9215845, -17.46725915], [-65.92161517, -17.4674122], [-65.92177579, -17.46745498], [-65.9218807, -17.46754374], [-65.92195724, -17.46762387], [-65.9220503, -17.4675593], [-65.92216969, -17.46737696], [-65.92224292, -17.46724947], [-65.92208014, -17.46707127], [-65.92202312, -17.46703599], [-65.92214353, -17.46691684], [-65.92214065, -17.46673629], [-65.92204039, -17.4663495], [-65.92186009, -17.46625283], [-65.92165158, -17.46615657], [-65.92147128, -17.4660599], [-65.92130907, -17.46591781], [-65.92119418, -17.46579309], [-65.9210039, -17.46566044], [-65.92076458, -17.46540211], [-65.92060295, -17.46529613], [-65.9203846, -17.46517293], [-65.92021399, -17.46509417], [-65.92006811, -17.46538525], [-65.91994698, -17.46545927], [-65.91972066, -17.46542648], [-65.91962847, -17.46554521], [-65.91958231, -17.46560007], [-65.91965261, -17.46587895], [-65.91975061, -17.46553439], [-65.91944031, -17.46613489], [-65.91936607, -17.46619919], [-65.91920617, -17.46620154], [-65.91915827, -17.46614806], [-65.91902716, -17.46618611], [-65.91898013, -17.4661868], [-65.91885325, -17.46589972], [-65.91883372, -17.46585486], [-65.91855298, -17.46594928], [-65.91856546, -17.4655518], [-65.91850945, -17.46557971], [-65.91834231, -17.46571761], [-65.91828064, -17.46598037], [-65.91821767, -17.46616188], [-65.91806991, -17.46633561], [-65.91800896, -17.46664351], [-65.91784892, -17.46663683], [-65.91775802, -17.46683681], [-65.91788045, -17.46684404], [-65.91767826, -17.46714498], [-65.91762298, -17.46721803], [-65.91776594, -17.46733331], [-65.91776594, -17.46733331], [-65.91791787, -17.46742138], [-65.91820279, -17.46758875], [-65.91868783, -17.46791572], [-65.9188305, -17.46801295], [-65.91933104, -17.46813201], [-65.91931602, -17.46778008]]]}, ""properties"": {}}",SAN BENITO - PAJCHA PUJRO - COMERCIAL (2),,,
188,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.87088798, -17.85866513]}, ""properties"": {}}",ANZALDO - MOROCHATA - COMERCIAL,,,
189,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.86914805, -17.86070433]}, ""properties"": {}}",ANZALDO - MOROCHATA - COMERCIAL (2),,,
190,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.87152807, -17.85852125]}, ""properties"": {}}",ANZALDO - MOROCHATA - COMERCIAL (3),,,
191,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.99312974, -17.82483779]}, ""properties"": {}}",ANZALDO - SIVINGANI - COMERCIAL,,,
192,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.99222187, -17.82353351]}, ""properties"": {}}",ANZALDO - SIVINGANI - COMERCIAL (2),,,
193,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.99080934, -17.82361835]}, ""properties"": {}}",ANZALDO - SIVINGANI - COMERCIAL (3),,,
194,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.99063767, -17.82406339]}, ""properties"": {}}",ANZALDO - SIVINGANI - COMERCIAL (4),,,
195,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.98858755, -17.86498591]}, ""properties"": {}}",ANZALDO - TOLAHARA - COMERCIAL,,,
196,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.94150266, -17.72020775]}, ""properties"": {}}",ANZALDO - PAJCHAPATA LUX - COMERCIAL,,,
197,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.94039133, -17.71272118]}, ""properties"": {}}",ANZALDO - PAJCHAPATA LUX - COMERCIAL (2),,,
198,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.95381944, -17.70200075]}, ""properties"": {}}",ANZALDO - PAJCHAPATA LUX - COMERCIAL (3),,,
199,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-66.14648097, -17.60901733]}, ""properties"": {}}",SANTIVAÑEZ - PAMPA CHURIGUA - COMERCIAL [pto 1],,,
200,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-66.14576756, -17.60817049]}, ""properties"": {}}",SANTIVAÑEZ - PAMPA CHURIGUA - COMERCIAL [pto 2],,,
201,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-66.14765272, -17.53431407], [-66.20109278, -17.53518113], [-65.35371004, -18.30167297], [-65.39064996, -18.26098104], [-65.53284204, -18.22978601], [-65.32339302, -18.205685], [-65.35901203, -18.13286601], [-65.38256101, -18.18876103], [-65.38153295, -18.19513801], [-66.14765272, -17.53431407]]]}, ""properties"": {}}",SANTIVAÑEZ - RANCHO NUEVO - COMERCIAL,,,
202,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-66.80758729, -17.3804673]}, ""properties"": {}}",INDEPENDENCIA - VILLA HERMOSA - COMERCIAL,,,
203,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-66.88934709, -17.02630593]}, ""properties"": {}}",INDEPENDENCIA - GHOCHIPAMPA - COMERCIAL,,,
204,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-65.10983168, -17.68410026], [-65.11088326, -17.68157611], [-65.11850383, -17.69651017], [-65.12192833, -17.68866854], [-65.11147661, -17.68285147], [-65.11245255, -17.68304154], [-65.11229181, -17.68381901], [-65.11519387, -17.68037645], [-65.12041444, -17.6787143], [-65.11076829, -17.68469169], [-65.11475667, -17.69019167], [-65.123855, -17.6837233], [-65.11978498, -17.68672995], [-65.1211867, -17.69381996], [-65.12717, -17.68723334], [-65.10983168, -17.68410026]]]}, ""properties"": {}}",TOTORA - RAQAYPAMPA - COMERCIAL,,,
205,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.47594981, -17.54658828]}, ""properties"": {}}",TIRAQUE - MISCAMAYU- 2 DE AGOSTO - COMERCIAL,,,
206,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.47673982, -17.47021002]}, ""properties"": {}}",TIRAQUE - PAIRUMANI BAJO - COMERCIAL,,,
207,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.64892666, -17.36357352]}, ""properties"": {}}",TIRAQUE - SANKAYANI - COMERCIAL,,,
208,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.64574584, -17.36585551]}, ""properties"": {}}",TIRAQUE - SANKAYANI - COMERCIAL (2),,,
209,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.63148032, -17.38655454]}, ""properties"": {}}",TIRAQUE - SANKAYANI ALTO - COMERCIAL,,,
210,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.60216838, -17.4424768]}, ""properties"": {}}",TIRAQUE - BOQUERON ALTO - COMERCIAL,,,
211,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.48671158, -17.53380691]}, ""properties"": {}}",TIRAQUE - PALCA - COMERCIAL,,,
212,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.47608265, -17.53039638]}, ""properties"": {}}",TIRAQUE - PALCA B - COMERCIAL,,,
213,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.43258194, -17.49039512]}, ""properties"": {}}",TIRAQUE - TOLA PAMPA BAJO - COMERCIAL,,,
214,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.596529, -17.48564631]}, ""properties"": {}}",TIRAQUE - BOQUERON -1RO DE MARZO - COMERCIAL,,,
215,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.47089474, -17.54845163]}, ""properties"": {}}",TIRAQUE - MISKA MAYU - COMERCIAL,,,
216,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.62813997, -17.80942114]}, ""properties"": {}}",ALALAY - RUMI CORRAL - SIN CLASIFICAR,,,
217,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.68302267, -17.80836775]}, ""properties"": {}}",ALALAY - MURU KULLO - SIN CLASIFICAR,,,
218,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.69835183, -17.75929695]}, ""properties"": {}}",ALALAY - ALALAY 02 (KHATA) - SIN CLASIFICAR,,,
219,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.6967824, -17.75963637]}, ""properties"": {}}",ALALAY - ALALAY 01 (KHATA) - SIN CLASIFICAR,,,
220,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.60685933, -17.73653523]}, ""properties"": {}}",ALALAY - PAJCHA 02 - SIN CLASIFICAR,,,
221,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.59086431, -17.8253078]}, ""properties"": {}}",ALALAY - PUNKILLO 01 - SIN CLASIFICAR,,,
222,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.58939882, -17.82561262]}, ""properties"": {}}",ALALAY - PUNKILLO 02 - SIN CLASIFICAR,,,
223,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.60615257, -17.85471312]}, ""properties"": {}}",ALALAY - YANAGAGA - SIN CLASIFICAR,,,
224,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.696024, -17.72361684]}, ""properties"": {}}",ALALAY - ALALAY 03 - SIN CLASIFICAR,,,
225,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.5405531, -17.78584724]}, ""properties"": {}}",ALALAY - MUYURINA 01 - SIN CLASIFICAR,,,
226,2,2,1,"{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-65.54432765, -17.80443725]}, ""properties"": {}}",ALALAY - MUYURINA 02 - SIN CLASIFICAR,,,
227,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-65.74090333, -17.72226318], [-65.7394433, -17.7229157], [-65.73892343, -17.72156839], [-65.74004691, -17.72109215], [-65.74090333, -17.72226318]]]}, ""properties"": {}}",VILLA G. VILLARROÉL - SAYANI - SIN CLASIFICAR,,,
228,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-65.7351799, -17.67849108], [-65.73416258, -17.6791193], [-65.73255993, -17.67841914], [-65.73376235, -17.67757162], [-65.7351799, -17.67849108]]]}, ""properties"": {}}",VILLA G. VILLARROÉL - CONVENTO PAMPA - SIN CLASIFICAR,,,
229,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-65.7641874, -17.71493814], [-65.76243582, -17.71438485], [-65.7619575, -17.71329892], [-65.76325581, -17.71317229], [-65.7641874, -17.71493814]]]}, ""properties"": {}}",VILLA G. VILLARROÉL - URA YANA RUMI - SIN CLASIFICAR,,,
230,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-65.7457557, -17.70553427], [-65.7456021, -17.70534678], [-65.74647182, -17.70491923], [-65.74725765, -17.70517012], [-65.7457557, -17.70553427]]]}, ""properties"": {}}",VILLA G. VILLARROÉL - VILLA VICTORIA (FASE I) - SIN CLASIFICAR,,,
231,2,2,3,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-64.99020515, -18.30859663], [-64.98952108, -18.30915483], [-64.9892014, -18.30932077], [-64.98894151, -18.30892599], [-64.98868071, -18.30844991], [-64.98833324, -18.30783922], [-64.98835081, -18.30772159], [-64.98846839, -18.3072506], [-64.98885334, -18.30700267], [-64.98938204, -18.30774698], [-64.98963288, -18.308178], [-64.9898876, -18.30812114], [-64.99020515, -18.30859663]]]}, ""properties"": {}}",AIQUILE - THOLA MAYU - SIN CLASIFICAR,,,
